species,Latitude,Longitude
Salix rosmarinifolia,50.547422,30.256724
Salix pentandra,50.542346,30.243592
Salix rosmarinifolia,49.935261,31.583857
Salix cinerea,49.930808,31.586611
Salix cinerea,50.51302,30.875231
Salix aurita,50.302404,30.298445
Salix caprea,50.30263,30.299898
Salix alba,50.523626,30.273555
Salix alba,50.521354,30.2682
Salix alba,50.521666,30.27312
Salix alba,50.0986,30.4447
Salix alba,49.725249,29.678354
Salix rubens,50.344675,30.437182
Salix rubens,49.355,30.1092
Salix rubens,50.114756,30.728685
Salix acutifolia,50.177386,30.221377
Salix acutifolia,50.1635,30.3478
Salix acutifolia,50.214007,30.703157
Salix acutifolia,50.155856,30.722898
Salix acutifolia,50.228635,30.65391
Salix rubens,49.39329,29.57216
Salix viminalis,49.373579,30.115366
Salix viminalis,49.365472,30.118292
Salix viminalis,50.0632,29.9176
Salix viminalis,49.930468,31.244303
Salix viminalis,50.114756,30.728685
Salix viminalis,50.122187,30.462649
Salix triandra,49.365472,30.118292
Salix viminalis,49.7408,30.199
Salix triandra,49.6507,30.9677
Salix triandra,50.122187,30.462649
Salix triandra,50.131329,30.510725
Salix cinerea,50.0986,30.4447
Salix cinerea,50.2815,30.3694
Salix caprea,49.3658,30.1088
Salix caprea,49.3225,30.1054
Salix caprea,49.361417,30.108937
Salix caprea,49.320545,30.105158
Salix caprea,49.891,30.9435
Salix caprea,49.948619,31.182602
Salix caprea,50.2815,30.3694
Salix caprea,50.290955,30.386266
Salix caprea,49.8039,31.1739
Salix caprea,50.015953,30.992145
Salix caprea,50.15423,30.731075
Salix caprea,50.114756,30.728685
Salix caprea,49.375214,30.162238
Salix caprea,49.355749,30.108658
Salix caprea,49.355,30.1092
Salix caprea,49.812677,30.0535
Salix caprea,49.811887,30.063552
Salix caprea,49.746187,30.198997
Salix caprea,49.7466,30.1984
Salix caprea,50.162,30.3799
Salix caprea,50.17089,30.206063
Salix caprea,50.0986,30.4447
Salix caprea,49.953674,31.072379
Salix alba,50.122187,30.462649
Salix alba,50.131329,30.510725
Salix alba,49.365472,30.118292
Salix alba,49.355749,30.108658
Salix alba,49.355,30.1092
Salix rosmarinifolia,50.1637,30.6843
Salix rosmarinifolia,50.231203,30.668601
Salix rosmarinifolia,50.1637,30.6843
Salix rosmarinifolia,50.2311,30.6695
Salix triandra,50.0986,30.4447
Salix fragilis,49.355,30.1092
Salix fragilis,49.36124,30.1082
Salix alba,49.371006,30.110199
Salix alba,49.363903,30.131932
Salix fragilis,49.39329,29.57216
Salix cinerea,49.656,30.9779
Salix cinerea,50.131329,30.510725
Salix cinerea,50.114756,30.728685
Salix cinerea,50.1637,30.6843
Salix cinerea,50.122187,30.462649
Salix cinerea,49.365472,30.118292
Salix cinerea,50.451704,29.776935
Salix cinerea,50.45978,29.788407
Salix cinerea,51.012726,29.822512
Salix triandra,50.938278,29.789483
Salix pentandra,50.952631,29.69884
Salix alba,50.952631,29.69884
Salix cinerea,50.96701,29.796615
Salix caprea,50.96701,29.796615
Salix cinerea,51.008954,29.819301
Salix cinerea,50.952631,29.69884
Salix cinerea,50.924464,29.750687
Salix cinerea,50.959339,29.81826
Salix alba,50.976389,29.770897
Salix pentandra,50.976389,29.770897
Salix cinerea,50.976389,29.770897
Salix myrsinifolia,50.976389,29.770897
Salix caprea,50.209098,30.788707
Salix acutifolia,50.834927,30.402198
Salix fragilis,50.345407,30.170511
Salix multinervis,50.920427,29.754475
Salix vinogradovii,50.042577,31.22988
Salix caprea,50.844314,30.386987
Salix rosmarinifolia,50.209823,30.790222
Salix cinerea,50.668282,29.734129
Salix aurita,50.565774,30.248242
Salix caprea,50.562969,30.245176
Salix cinerea,50.672094,29.736509
Salix pentandra,50.571647,30.248206
Salix cinerea,50.573244,30.247578
Salix caprea,50.585925,30.995112
Salix triandra,49.542356,30.878619
Salix cinerea,50.572859,29.932876
Salix cinerea,50.572337,29.934738
Salix caprea,50.585553,30.99338
Salix alba,50.346367,30.171188
Salix cinerea,50.569432,30.245797
Salix cinerea,50.573027,29.93276
Salix cinerea,50.570861,29.937441
Salix cinerea,49.349294,30.113273
Salix cinerea,50.595022,30.005356
Salix cinerea,50.66119,29.756504
Salix triandra,50.662523,29.753132
Salix caprea,50.662868,29.753662
Salix pentandra,50.661894,29.75159
Salix alba,50.66248,29.752616
Salix viminalis,50.662684,29.752448
Salix alba,50.662943,29.753746
Salix pentandra,50.662394,29.751988
Salix cinerea,50.662529,29.753148
Salix cinerea,50.663111,29.753457
Salix alba,50.667687,29.756477
Salix caprea,50.662678,29.752051
Salix aurita,50.610774,30.118265
Salix triandra,51.267928,29.79492
Salix caprea,50.966467,29.758432
Salix rosmarinifolia,51.505454,30.015157
Salix caprea,50.965544,29.755662
Salix cinerea,50.96731,29.754486
Salix caprea,50.531682,30.210782
Salix acutifolia,50.966142,29.757877
Salix caprea,50.412342,30.375858
Salix alba,50.412387,30.374788
Salix cinerea,50.177704,31.607591
Salix purpurea,50.177704,31.607591
Salix alba,50.177704,31.607591
Salix cinerea,50.209123,31.553766
Salix caprea,50.187678,31.589312
Salix cinerea,50.187678,31.589312
Salix cinerea,50.183577,31.63718
Salix purpurea,50.183577,31.63718
Salix alba,50.183577,31.63718
Salix cinerea,50.311843,29.897385
Salix triandra,51.279342,29.757742
Salix caprea,50.552033,30.099303
Salix pentandra,49.935745,31.585125
Salix triandra,50.912553,29.656068
Salix caprea,50.582979,30.136094
Salix pentandra,50.975828,29.770899
Salix caprea,50.923856,29.759017
Salix alba,50.542049,30.239425
Salix cinerea,51.009317,29.814644
Salix cinerea,50.976292,29.771274
Salix cinerea,50.541927,30.238623
Salix triandra,50.975388,29.771356
Salix alba,51.01275,29.813613
Salix alba,50.541398,30.237935
Salix caprea,50.94511,29.787428
Salix caprea,50.949811,29.785815
Salix myrsinifolia,50.975493,29.771306
Salix acutifolia,50.94355,29.787982
Salix triandra,50.944005,29.787835
Salix cinerea,50.953962,29.699544
Salix cinerea,50.976572,29.77036
Salix cinerea,50.943548,29.787982
Salix cinerea,50.912509,29.656043
Salix caprea,50.943482,29.787942
Salix cinerea,51.011419,29.821696
Salix pentandra,50.954415,29.701334
Salix cinerea,50.296793,30.326342
Salix caprea,50.543195,30.258279
Salix alba,50.541594,30.238104
Salix alba,50.54106,30.239688
Salix cinerea,50.912423,29.656046
Salix cinerea,50.923148,29.721177
Salix cinerea,50.543213,30.258272
Salix alba,50.539175,30.242398
Salix cinerea,50.954082,29.700792
Salix triandra,50.298146,30.325341
Salix acutifolia,50.942745,29.7882
Salix acutifolia,50.550755,30.53307
Salix alba,50.684704,29.577406
Salix caprea,50.686459,29.583443
Salix alba,50.542991,30.258512
Salix alba,49.654418,31.09211
