ÇË‰;Cd;Zn;Pb;Cu;Ni;Cr;Fe;As;Mn;Al;Co;Hg;Cs;Sr;Petroleum products;Pesticides;Pharmaceutical compounds
S. viminalis;18;16;13;10;3;3;1;2;1;;1;1;;;5;1;
S. ‡lba;9;9;10;6;3;4;2;3;1;2;;1;;0;1;2;
S. caprea;7;9;5;5;2;3;3;;1;;1;;1;1;;;
S. fragilis;4;3;2;2;1;;;;;;;;;;;;2
S. cinerea;3;1;1;1;;;;;;;;;;;;;
S. aurita;1;1;;1;1;;;;;;;;;;;;
S. triandra;;;;;;;;;;;;;;;1;;
P. alba;10;15;6;9;3;3;2;2;;;;;;2;4;;1
P. nigra;13;13;10;9;3;4;1;;2;;;;;1;5;;1
P. tremula;3;2;1;1;2;1;1;;1;;;;1;1;;;
P. canescens;4;2;3;2;;1;;1;;;;;;;;1;
